dis_no,year,seq,glide,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,event_name,country,iso,region,continent,location,origin,associated_dis,associated_dis2,ofda_response,appeal,declaration,aid_contribution,dis_mag_value,dis_mag_scale,latitude,longitude,local_time,river_basin,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,no_injured,no_affected,no_homeless,total_affected,reconstruction_costs_000_us,reconstruction_costs_adjusted_000_us,insured_damages_000_us,insured_damages_adjusted_000_us,total_damages_000_us,total_damages_adjusted_000_us,cpi,adm_level,admin1_code,admin2_code,geo_locations,adm1_name,adm2_name,uf,nome_uf,codigo_municipio_completo,nome_municipio
1965-0030-BRA,1965,0030,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"Pernambuco, Recife",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1965,6,NA,1965,6,NA,16,NA,30000,NA,30000,NA,NA,NA,NA,7000,60200,11.6279903783075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965-0047-BRA,1965,0047,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,South,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1965,8,16,1965,8,16,6,NA,200000,40000,240000,NA,NA,NA,NA,10000,85999,11.6279903783075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966-0019-BRA,1966,0019,NA,Natural,Hydrological,Landslide,Landslide,NA,NA,Brazil,BRA,South America,Americas,Rio de Janeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,1,11,1966,1,11,350,NA,4000000,NA,4000000,NA,NA,NA,NA,27,225,11.9785873605948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966-0017-BRA,1966,0017,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"Rio, Guanabara",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1966,1,11,1966,1,11,373,1700,51881,NA,53581,NA,NA,NA,NA,51000,425760,11.9785873605948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966-0044-BRA,1966,0044,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"Salvador, Recife",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1966,5,21,1966,5,21,147,57,125500,29000,154557,NA,NA,NA,NA,9914,82764,11.9785873605948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966-0116-BRA,1966,0116,NA,Natural,Meteorological,Storm,NA,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1966,1,NA,1966,1,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9785873605948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966-0120-BRA,1966,0120,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1966,3,NA,1966,3,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9785873605948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967-0028-BRA,1967,0028,NA,Natural,Hydrological,Landslide,Landslide,NA,NA,Brazil,BRA,South America,Americas,Rio de Janeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,3,19,1967,3,19,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3107281871857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967-0015-BRA,1967,0015,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"(1) Rio, Sao Paulo, Guanab, (2) Rio, Sao Paulo, (3) Rio, Guanabara, (4) Sao Paulo, Caraguatauba",NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1967,1,23,1967,1,23,785,1257,20836,NA,22093,NA,NA,NA,NA,7800,63359,12.3107281871857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967-0029-BRA,1967,0029,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,North-East,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1967,3,30,1967,3,30,NA,NA,87000,NA,87000,NA,NA,NA,NA,5000,40615,12.3107281871857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967-0060-BRA,1967,0060,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Porto Alegre,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1967,9,20,1967,9,20,NA,NA,15000,NA,15000,NA,NA,NA,NA,1000,8123,12.3107281871857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967-0081-BRA,1967,0081,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"South, South West Bahia",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1967,12,28,1967,12,28,35,50,50000,15400,65450,NA,NA,NA,NA,1500,12184,12.3107281871857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968-0131-BRA,1968,0131,NA,Natural,Meteorological,Extreme temperature,Heat wave,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,°C,NA,NA,NA,NA,1968,12,NA,1968,12,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8366149136235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-0057-BRA,1969,0057,NA,Natural,Hydrological,Flood,Flash flood,NA,NA,Brazil,BRA,South America,Americas,North East,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1969,3,14,1969,3,14,316,3221,17700,17384,38305,NA,NA,NA,NA,5770,42621,13.5378001312049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-9005-BRA,1970,9005,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,Northeast,NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1970,8,NA,1970,NA,NA,NA,NA,10000000,NA,10000000,NA,NA,NA,NA,100,698,14.3281696916685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-0037-BRA,1970,0037,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"Recife, South Pernambuco",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1970,7,21,1970,7,21,172,NA,104371,NA,104371,NA,NA,NA,NA,46000,321046,14.3281696916685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-0017-BRA,1971,0017,NA,Natural,Hydrological,Flood,Flash flood,NA,NA,Brazil,BRA,South America,Americas,Rio de Janeiro,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1971,2,26,1971,2,26,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9432495079816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-0027-BRA,1971,0027,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Salvador,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1971,4,26,1971,4,26,109,2000,11000,NA,13000,NA,NA,NA,NA,5200,34798,14.9432495079816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973-0019-BRA,1973,0019,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"East, Central, along Cartinga",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1973,3,26,1973,3,26,20,NA,NA,NA,NA,NA,NA,NA,NA,16000,97647,16.3855937021648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-0024-BRA,1974,0024,NA,Natural,Hydrological,Landslide,Landslide,NA,NA,Brazil,BRA,South America,Americas,North East (Ceara),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,5,NA,1974,5,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.196991034332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-0053-BRA,1974,0053,NA,Natural,Hydrological,Landslide,Landslide,NA,NA,Brazil,BRA,South America,Americas,Sao Tome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,10,23,1974,10,23,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.196991034332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-0127-BRA,1974,0127,NA,Natural,Biological,Epidemic,Bacterial disease,NA,NA,Brazil,BRA,South America,Americas,Sao Paulo,NA,NA,NA,NA,NA,NA,NA,NA,Vaccinated,NA,NA,NA,NA,1974,1,1,1974,1,1,1500,NA,30000,NA,30000,NA,NA,NA,NA,NA,NA,18.196991034332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-0015-BRA,1974,0015,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Most of the country,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1974,3,NA,1974,3,NA,205,NA,325000,NA,325000,NA,NA,NA,NA,121000,664945,18.196991034332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-0039-BRA,1975,0039,NA,Natural,Meteorological,Extreme temperature,Cold wave,NA,NA,Brazil,BRA,South America,Americas,Parana,NA,NA,NA,NA,NA,NA,NA,NA,°C,NA,NA,NA,NA,1975,7,NA,1975,7,NA,70,600,NA,NA,600,NA,NA,NA,NA,600000,3021030,19.8607741089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-0145-BRA,1975,0145,NA,Natural,Meteorological,Extreme temperature,Heat wave,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,°C,NA,NA,NA,NA,1975,12,NA,1975,12,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8607741089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-0068-BRA,1975,0068,NA,Natural,Biological,Epidemic,Bacterial disease,NA,NA,Brazil,BRA,South America,Americas,"Pernambuco, Recife (North East areas)",NA,NA,NA,NA,NA,NA,NA,NA,Vaccinated,NA,NA,NA,NA,1975,7,NA,1975,7,NA,NA,NA,107,NA,107,NA,NA,NA,NA,NA,NA,19.8607741089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-0042-BRA,1975,0042,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"Pernambuco, Recife (North East areas)",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1975,7,18,1975,7,18,118,NA,748000,80000,828000,NA,NA,NA,NA,254900,1283434,19.8607741089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-9006-BRA,1977,9006,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,North East,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1977,NA,NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.367198775421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-0061-BRA,1977,0061,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Recife,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1977,5,NA,1977,5,NA,2,NA,75000,50000,125000,NA,NA,NA,NA,NA,NA,22.367198775421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-0077-BRA,1977,0077,NA,Natural,Meteorological,Storm,NA,NA,NA,Brazil,BRA,South America,Americas,"Aracaju, Sergipe",NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1977,6,17,1977,6,17,10,100,NA,NA,100,NA,NA,NA,NA,NA,NA,22.367198775421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-0105-BRA,1977,0105,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Rio Grande Do Sul,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1977,8,9,1977,8,9,NA,NA,6000,NA,6000,NA,NA,NA,NA,NA,NA,22.367198775421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-0232-BRA,1977,0232,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1977,1,NA,1977,1,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.367198775421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-0006-BRA,1978,0006,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,South Eastern,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1978,1,NA,1978,1,NA,26,NA,1000,NA,1000,NA,NA,NA,NA,NA,NA,24.0740345506232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-9005-BRA,1978,9005,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,Central and Southern,NA,NA,NA,NA,No,No,NA,NA,Km2,NA,NA,NA,NA,1978,NA,NA,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300000,9553862,24.0740345506232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-9012-BRA,1979,9012,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,Northeastern,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1979,NA,NA,1979,NA,NA,NA,NA,5000000,NA,5000000,NA,NA,NA,NA,NA,NA,26.7834419418325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-0003-BRA,1979,0003,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"Minas Gerais, Espirito Santo (East-Central)",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1979,1,NA,1979,1,NA,300,NA,1500000,NA,1500000,NA,NA,NA,NA,NA,NA,26.7834419418325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-0054-BRA,1980,0054,NA,Natural,Meteorological,Storm,Convective storm,Tornado,NA,Brazil,BRA,South America,Americas,Irati town,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1980,6,25,1980,6,25,15,48,NA,NA,48,NA,NA,NA,NA,NA,NA,30.4123857424011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-0008-BRA,1980,0008,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Minas Gerais state,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1980,1,NA,1980,1,NA,17,NA,1000,NA,1000,NA,NA,NA,NA,NA,NA,30.4123857424011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-0031-BRA,1980,0031,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"North, Central",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1980,2,NA,1980,2,NA,50,NA,270000,NA,270000,NA,NA,NA,NA,NA,NA,30.4123857424011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-0041-BRA,1981,0041,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,NorthEastern,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1981,4,NA,1981,4,NA,30,NA,50000,NA,50000,NA,NA,NA,NA,NA,NA,33.5554165755522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-0105-BRA,1981,0105,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Rio de Janeiro state,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1981,12,2,1981,12,2,67,300,2000,NA,2300,NA,NA,NA,NA,NA,NA,33.5554165755522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-0071-BRA,1982,0071,NA,Natural,Meteorological,Storm,NA,NA,NA,Brazil,BRA,South America,Americas,Parana state,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1982,6,NA,1982,6,NA,33,300,4000,NA,4300,NA,NA,NA,NA,NA,NA,35.6128405860485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-0204-BRA,1983,0204,NA,Natural,Hydrological,Landslide,Landslide,NA,NA,Brazil,BRA,South America,Americas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,12,NA,1983,12,NA,13,40,NA,NA,40,NA,NA,NA,NA,NA,NA,36.7568773234201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-9206-BRA,1983,9206,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,"Northeast, Sertao",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,9,NA,1983,NA,NA,20,NA,20000000,NA,20000000,NA,NA,NA,NA,NA,NA,36.7568773234201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-0001-BRA,1983,0001,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Minas Gerais state,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,1,NA,1983,1,NA,68,300,3000000,8000,3008300,NA,NA,NA,NA,12000,32647,36.7568773234201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983-0075-BRA,1983,0075,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Southern,NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1983,5,NA,1983,5,NA,75,NA,330000,NA,330000,NA,NA,NA,NA,338000,919556,36.7568773234201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-0093-BRA,1984,0093,NA,Natural,Meteorological,Storm,Convective storm,Tornado,NA,Brazil,BRA,South America,Americas,Maravilha,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1984,10,9,1984,10,9,10,NA,200,NA,200,NA,NA,NA,NA,NA,NA,38.3376251913405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-0032-BRA,1984,0032,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"Recife, Salvador",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1984,4,NA,1984,4,NA,30,NA,50000,NA,50000,NA,NA,NA,NA,NA,NA,38.3376251913405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-0039-BRA,1984,0039,NA,Natural,Biological,Epidemic,NA,NA,Gastroenteritis,Brazil,BRA,South America,Americas,Northeast Brazil,NA,NA,NA,NA,NA,NA,NA,NA,Vaccinated,NA,NA,NA,NA,1984,5,NA,1984,5,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3376251913405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-0049-BRA,1984,0049,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Rio Grande Do Sul,NA,NA,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1984,6,NA,1984,6,NA,17,NA,150000,9600,159600,NA,NA,NA,NA,1000000,2608404,38.3376251913405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-0050-BRA,1984,0050,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Santa Catarina,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1984,6,NA,1984,6,NA,10,NA,100000,20400,120400,NA,NA,NA,NA,1000000,2608404,38.3376251913405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-0114-BRA,1984,0114,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,"Minas Gerais, Rio de Janeiro, Sao Paulo, Espirito Santo",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1984,12,NA,1984,12,NA,200,NA,60000,NA,60000,NA,NA,NA,NA,NA,NA,38.3376251913405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984-0168-BRA,1984,0168,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Paraiba state,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1984,5,NA,1984,5,NA,6,NA,NA,1500,1500,NA,NA,NA,NA,NA,NA,38.3376251913405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-0112-BRA,1985,0112,NA,Natural,Meteorological,Storm,Convective storm,Hail,NA,Brazil,BRA,South America,Americas,"Itabirinha De Mantena, Ipatinga, Teofilo Otoni (Minas Gerais state)",NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1985,9,30,1985,9,30,22,1000,NA,2000,3000,NA,NA,NA,NA,NA,NA,39.696934178876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-0050-BRA,1985,0050,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Ceara, Maranhao, Piaui, Rio Grande do Norte, Paraiba, Pernambuco",NA,NA,NA,NA,NA,NA,NA,678500,Km2,NA,NA,NA,NA,1985,4,NA,1985,4,NA,100,NA,600000,NA,600000,NA,NA,NA,NA,200000,503817,39.696934178876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-9011-BRA,1985,9011,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,Rio Grande Do Sul,NA,NA,NA,NA,No,No,NA,NA,Km2,NA,NA,NA,NA,1985,11,NA,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651000,1639925,39.696934178876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985-0136-BRA,1985,0136,NA,Natural,Hydrological,Flood,NA,NA,NA,Brazil,BRA,South America,Americas,Bahia state,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1985,12,NA,1985,12,NA,1,NA,10000,2000,12000,NA,NA,NA,NA,NA,NA,39.696934178876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-0141-BRA,1986,0141,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Brazil,BRA,South America,Americas,"Joao Camara, Pobo Branco",NA,NA,NA,NA,No,No,NA,5,Richter,3.58 S,62.42 W,NA,NA,1986,11,30,1986,11,30,1,NA,15000,8000,23000,NA,NA,NA,NA,5000,12361,40.450408921933096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
